,movieId,rating,userId
0,301,3.0,551.0
1,1889,5.0,46.0
2,2212,5.0,586.0
3,1143,5.0,232.0
4,820,2.0,99.0
5,2646,5.0,665.0
6,284,5.0,250.0
7,1934,4.0,196.0
8,4078,3.5,547.0
9,7953,5.0,479.0
10,1004,5.0,198.0
11,2612,3.0,268.0
12,6308,2.0,580.0
13,331,3.0,188.0
14,2162,4.0,171.0
15,725,3.0,142.0
16,2396,4.0,30.0
17,523,5.0,311.0
18,1881,1.0,373.0
19,6480,2.5,457.0
20,28,3.0,388.0
21,2425,3.0,143.0
22,6883,4.5,250.0
23,7844,5.0,483.0
24,1846,5.0,407.0
25,1455,3.5,97.0
26,406,5.0,32.0
27,5492,3.5,481.0
28,3831,2.0,463.0
29,8518,5.0,287.0
30,8679,0.5,457.0
31,447,4.5,442.0
32,483,3.0,344.0
33,1675,3.5,362.0
34,245,3.0,536.0
35,953,3.0,205.0
36,1307,3.0,642.0
37,527,4.0,382.0
38,1896,3.0,564.0
39,1509,2.5,637.0
40,720,5.0,466.0
41,1359,3.5,627.0
42,1030,3.5,587.0
43,1484,5.0,186.0
44,6001,4.0,48.0
45,2202,5.0,529.0
46,2114,4.0,627.0
47,1025,2.0,133.0
48,2062,5.0,275.0
49,3926,5.0,15.0
50,977,2.5,97.0
51,8612,1.5,624.0
52,2160,4.0,598.0
53,8783,3.5,624.0
54,5547,5.0,83.0
55,745,4.0,197.0
56,5,4.0,340.0
57,1731,4.0,118.0
58,1134,4.0,597.0
59,3551,0.5,621.0
60,6948,5.0,125.0
61,1779,4.0,30.0
62,2425,3.5,105.0
63,2646,3.5,213.0
64,1187,4.0,596.0
65,4422,5.0,584.0
66,1006,4.5,654.0
67,1360,3.0,23.0
68,474,5.0,452.0
69,2442,3.5,664.0
70,3163,1.0,15.0
71,981,5.0,193.0
72,2339,5.0,30.0
73,2340,5.0,442.0
74,4034,2.5,22.0
75,2103,3.5,523.0
76,1001,5.0,34.0
77,527,3.5,561.0
78,7590,5.0,73.0
79,1810,5.0,199.0
80,561,4.0,490.0
81,7412,3.0,481.0
82,314,4.0,151.0
83,3633,5.0,367.0
84,8927,2.5,624.0
85,647,1.5,461.0
86,535,5.0,545.0
87,4310,3.0,561.0
88,1478,4.0,585.0
89,957,4.0,350.0
90,7075,4.0,176.0
91,2775,4.5,17.0
92,7008,4.5,275.0
93,3138,5.0,214.0
94,309,3.0,624.0
95,2540,3.0,119.0
96,2923,3.0,23.0
97,7094,3.5,547.0
98,218,4.0,437.0
99,5596,4.0,610.0
100,3808,3.0,547.0
101,522,5.0,2.0
102,1060,1.5,627.0
103,1024,5.0,268.0
104,4746,4.5,472.0
105,1,4.0,531.0
106,650,3.0,383.0
107,7793,5.0,208.0
108,2180,3.5,111.0
109,1743,3.5,294.0
110,45,3.0,188.0
111,270,4.0,608.0
112,4418,5.0,99.0
113,1220,4.0,564.0
114,1918,3.0,518.0
115,8101,3.5,73.0
116,529,2.5,468.0
117,2784,1.0,461.0
118,1114,5.0,463.0
119,3025,4.0,384.0
120,2181,3.0,311.0
121,4259,4.0,627.0
122,184,2.0,580.0
123,730,4.0,278.0
124,49,4.0,224.0
125,644,1.5,457.0
126,1330,4.0,580.0
